OBJECTID,Neighborhood Name,Primary Ward,HasData,ORIGINAL_OID,Percent Minority Population,Total Population,Population Under 200% of Poverty,Population for which poverty status is determined,"Percent Non-Working Age (0-17, 65+)",Percent Seniors,Percent Children,Percent Unemployed,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,PriorityCategory,Shape__Area,Shape__Length,Percent Working Age (18-64)
74,Barrio Kroeger Lane,1,1,194,73.13,268,30,64,12.69,5.97,6.72,10.34,194,6.95528455284553,8.62185743193218,0.221149792641935,1211.84829883119,1.2,18,9.37814256806782,53.7837088325835,0.638037584798374,65.6839723149594,53.125,02 Upper-Moderate Priority,64 - 79,0.0853864123113395,3138.67268509663,High Priority,2380415.14407349,7316.43115600987,87.31
75,Broadway Proper,2,1,445,47.89,261,146,190,49.04,28.35,21.07,22.86,445,5.69824561403509,9.90621011774222,0.254406421154447,1025.91750167167,1.2,18,8.09378988225778,46.4179377973725,0.461359865730895,78.5846264502992,23.1578947368421,02 Upper-Moderate Priority,64 - 79,0.0982268683674928,2657.11413117162,High Priority,2738564.96853638,7579.85796737768,50.96
76,Sierra Estates,6,1,67,60.24,83,40,92,28.92,10.84,18.07,17.39,67,5.59523809523809,13.952244393808,0.0733973093011295,1130.83164478787,1.2,18,4.047755606192,23.2139048184401,0.581180292770311,,56.5217391304348,,,0.0283388595560487,2928.84051441246,,790066.435882568,4073.22622620111,71.08
77,Barrio Blue Moon,3,1,6,70.87,951,295,668,32.28,17.56,14.62,18.74,6,4.61229946524064,9.58602051841642,0.33262697458125,2859.05856311633,1,15,5.41397948158358,31.0492076602185,0.574717967340329,82.1554624859915,55.8383233532934,03 Low-Moderate Priority,79 - 89,0.128427992891709,7404.92768427742,Moderate Priority,3607716.44168091,8243.10513622048,67.72
78,Arcadia Square,2,1,391,21.43,70,26,43,62.86,54.29,10,13.64,391,2.70652173913043,17.1961122809296,0.0858969265501547,814.930205437879,1.2,18,0.803887719070399,4.61030131529339,0.273981193583788,,39.5348837209302,,,0.0331649887573315,2110.65954257336,,926209.840637207,5432.8580230847,37.14
79,Samos,3,1,51,35.02,1068,488,870,25.28,14.79,10.49,7.84,51,5.43134715025907,12.0811990979048,0.683734682691795,1562.00939784916,1.2,18,5.9188009020952,33.9443618014764,0.452289014352694,84.647338057979,43.9080459770115,03 Low-Moderate Priority,79 - 89,0.263991436892003,4045.58576813577,Moderate Priority,7364108.86834717,10773.4173768323,74.72
80,Rainbow Vista Estates,2,1,377,26.63,184,75,88,52.17,39.67,13.04,13.89,377,2.7888198757764,14.0634725278848,0.141457567449227,1300.74341951372,1.2,18,3.9365274721152,22.5760107435998,0.264698855859797,94.0241557862906,14.7727272727273,04 Low Priority,89 - 99,0.0546170721413989,3368.90999070107,Low Priority,1522696.47186279,5330.4564438069,47.83
81,Limberlost,3,1,269,58.28,3744,1422,3377,34.46,13.51,20.94,13.23,269,6.23356643356643,10.4913226330442,1.29917226562491,2881.8349183271,1,15,4.5086773669558,25.8572941245412,0.555390228189331,85.6391115158124,57.8916197808706,03 Low-Moderate Priority,79 - 89,0.501613216141269,7463.91817345096,Moderate Priority,13983937.5007019,15873.383543779,65.54
82,Arroyo Chico,5,1,3,63.79,3035,1944,2905,35.02,17.76,17.27,10.98,3,4.43678685531721,9.0138346882225,1.96126927824856,1547.46726197144,1.2,18,8.9861653117775,51.5357167095914,0.452115191520995,76.6999195696714,33.0808950086059,02 Upper-Moderate Priority,64 - 79,0.757250301913411,4007.92180911807,High Priority,21071542.2586365,21049.6679881291,64.98
83,Michiana,5,1,306,100,1,1,1,0,0,0,0,306,4.89352594970573,1.25905888282334,1.70460518513343,0.586646109445997,1.2,18,16.7409411171767,96.0094065636672,0.498650927816614,,0,,,0.658151741527944,1.51940644824312,,18310833.247467,20564.5415691625,100
